フェーズ,到達時間,通過する天体・ランドマーク,距離,演出・メッセージ
1,10分7秒,ベテルギウス,642光年,いつ超新星爆発してもおかしくない星を無事通過
1,13分33秒,リゲル,860光年,オリオン座の青い超巨星。折り返し地点です！
1,21分11秒,オリオン大星雲,1,344光年,星が生まれる場所を観測。集中力高まってます！
1,23分39秒,馬頭星雲,1,500光年,馬の頭の形をした暗黒星雲を駆け抜ける！
1,25分00秒,はくちょう座X-1,1,585光年,【1ポモドーロ完了！】ブラックホールの重力を振り切りました！
2,28分22秒,ケプラー452b,1,800光年,地球にそっくりな惑星。ここで休憩しますか？
2,31分32秒,環状星雲 (M57),2,000光年,星の最期の姿、美しいガスのリングを通過
2,37分50秒,網状星雲 (Veil Nebula),2,400光年,巨大な超新星残骸のレースをくぐり抜ける
2,41分14秒,デネブ,2,615光年,はくちょう座の尾。夏の大三角をこれで全制覇！
2,1時間4分,干潟星雲 (M8),4,100光年,天の川の濃い部分に突入してきました
2,1時間21分,ばら星雲 (Rosette Nebula),5,200光年,バラの花の形をした巨大なガス雲。タスクも咲かせよう
2,1時間42分,かに星雲 (M1),6,500光年,かつての超新星爆発の残骸を突っ切ります
2,1時間50分,わし星雲（創造の柱）,7,000光年,宇宙の神秘『創造の柱』。今日のタスク量は凄い！
2,1時間58分,りゅうこつ座イータ星,7,500光年,太陽の数百万倍明るい、爆発寸前の超大質量星に接近
2,2時間47分,球状星団 M22,10,600光年,夜空で最も明るい球状星団の一つ！
2,2時間53分,カシオペヤ座A,11,000光年,強力な電波を放つ超新星残骸を通過。順調です
2,3時間56分,ウェスタールンド1,15,000光年,天の川銀河最大級の『超星団』。星の密度が異常です
2,4時間9分,オメガ星団,15,800光年,数百万の星が密集する巨大な球状星団！
2,5時間15分,NGC 3603,20,000光年,銀河系最大級の星形成領域で新しいタスクを生み出す
2,6時間34分,ヘルクレス座球状星団,25,000光年,アレシボ・メッセージの送信先！宇宙人に応答せよ
2,6時間49分,天の川銀河の中心,26,000光年,超大質量ブラックホール『いて座A*』をスイングバイ
2,13時間8分,天の川銀河の外縁部,50,000光年,我らが銀河の果てを通過。完全な暗黒の宇宙へ
2,21時間1分,天の川銀河の反対側,80,000光年,銀河の裏側まで来ました。地球からは見えない景色です
3,18時間23分,いて座矮小楕円小銀河,7万光年,天の川銀河に飲み込まれつつある小さな伴銀河
3,42時間2分,大マゼラン雲,16万光年,南半球の夜空を彩る巨大な伴銀河に到達しました
3,52時間33分,小マゼラン雲,20万光年,大マゼラン雲の兄弟星雲。長時間の作業、お疲れ様です
3,68時間19分,りゅう座矮小銀河,26万光年,暗黒物質（ダークマター）を大量に含む古い銀河を通過
3,73時間35分,ろくぶんぎ座矮小銀河,28万光年,古い星ばかりが集まる静かな銀河。タスクも消化試合？
3,76時間12分,ちょうこくしつ座矮小銀河,29万光年,銀河系の重力圏を完全に脱出しました
3,78時間50分,銀河間放浪者 (NGC 2419),30万光年,どの銀河にも属さない孤独な球状星団を通過
3,86時間43分,りゅうこつ座矮小銀河,33万光年,天の川銀河の周りを回る衛星銀河をさらにパス
3,120時間53分,ろ座矮小銀河,46万光年,暗闇の宇宙を進み続けています。孤独な戦いですね
3,181時間19分,しし座II (矮小銀河),69万光年,圧倒的な作業時間の蓄積を感じます
3,215時間29分,しし座I (矮小銀河),82万光年,さらに遠くの矮小銀河。もはやチーム開発の鑑です
3,378時間26分,ほうおう座矮小銀河,144万光年,天の川とアンドロメダのちょうど中間地点の何もない空間
3,420時間28分,バーナード銀河 (NGC 6822),160万光年,不規則銀河に突入！アンドロメダの重力圏に入り始めました
3,538時間44分,NGC 185 (伴銀河),205万光年,アンドロメダのお供の銀河を発見！
3,578時間11分,IC 10 (スターバースト銀河),220万光年,猛烈な勢いで星が生まれている銀河。爆速開発中！
3,625時間29分,IC 1613,238万光年,アンドロメダに極めて近い不規則銀河。ゴールは目の前！
3,654時間24分,M32 (アンドロメダ伴銀河),249万光年,アンドロメダのすぐ隣にあるコンパクトな楕円銀河！
3,657時間0分,アンドロメダ銀河 (M31),250万光年,【最終目的地】お隣の銀河に到着！渡邊様のチームが宇宙を超えました！
3,706時間58分,M110 (伴銀河),269万光年,アンドロメダを通り抜けた先にあるもう一つの伴銀河
3,717時間30分,さんかく座銀河 (M33),273万光年,局所銀河群で3番目に大きい巨大銀河。真のカンスト！
3,788時間26分,WLM銀河,300万光年,局所銀河群の最果て。これ以上は宇宙の壁に阻まれます
